# SOMMETS
# indice \t valeur \t indice couleur \t x \t y
# region jaune
0	1	0	50	50
1	5	0	50	50
2	2	0	50	50
3	3	0	50	50
4	4	0	50	50
# region bleue
5	2	1	50	50
6	3	1	50	50
7	4	1	50	50
8	6	1	50	50
9	8	1	50	50
# region grise
10	0	2	50	50
11	1	2	50	50
12	2	2	50	50
13	3	2	50	50
14	4	2	50	50
# region verte
15	2	3	50	50
16	3	3	50	50
17	4	3	50	50
18	6	3	50	50
19	8	3	50	50
# region rouge
20	1	4	50	50
21	2	4	50	50
22	3	4	50	50
23	4	4	50	50
24	5	4	50	50
# region orange
25	1	5	50	50
26	2	5	50	50
27	3	5	50	50
28	4	5	50	50
29	5	5	50	50

# ROUTES
# indice_sommet_depart \t indice_sommet_arrivee \t nombre_sections
1	2	1
