# SOMMETS
# indice \t valeur \t indice couleur \t x \t y
# Sommet de départ
0	0	0	50	50
# region jaune
1	1	1	50	50
2	5	1	50	50
3	2	1	50	50
4	3	1	50	50
5	4	1	50	50
# region bleue
6	2	2	50	50
7	3	2	50	50
8	4	2	50	50
9	6	2	50	50
10	8	2	50	50
# region grise
11	0	3	50	50
12	1	3	50	50
13	2	3	50	50
14	3	3	50	50
15	4	3	50	50
# region verte
16	2	4	50	50
17	3	4	50	50
18	4	4	50	50
19	6	4	50	50
20	8	4	50	50
# region rouge
21	1	5	50	50
22	2	5	50	50
23	3	5	50	50
24	4	5	50	50
25	5	5	50	50
# region orange
26	1	6	50	50
27	2	6	50	50
28	3	6	50	50
29	4	6	50	50
30	5	6	50	50

# ROUTES
# indice_sommet_depart \t indice_sommet_arrivee \t nombre_sections
1	2	1
