<<<<<<< HEAD
1	00D0	27M2
2	27M2	07B3
3	07B3	08B4
4	08B4	10B8
5	10B8	09B6
6	09B6	19V6
7	19V6	16V2
8	16V2	20V8
9	20V8	18V4
10	18V4	17V3
11	10B8	06B2
12	06B2	13G2
13	13G2	15G4
14	15G4	04J3
15	04J3	05J4
16	05J4	01J1
17	01J1	11G0
18	11G0	14G3
19	14G3	12G1
20	12G1	26M1
21	26M1	29M4
22	29M4	28M3
23	28M3	30M5
24	30M5	22R2
25	22R2	24R4
26	24R4	25R5
27	25R5	23R3
28	23R3	21R1
29	01J1	02J5
30	05J4	03J2
=======
<<<<<<< HEAD
1	00D0	27M2
2	27M2	07B3
=======
1	00D0	26M1
2	26M1	29M4
3	29M4	28M3
4	28M3	27M2
5	27M2	07B3
6	07B3	21R1
7	21R1	23R3
8	23R3	25R5
9	25R5	24R4
10	24R4	22R2
11	22R2	30M5
12	26M1	12G1
13	12G1	14G3
14	14G3	11G0
15	11G0	01J1
16	01J1	02J5
17	01J1	05J4
>>>>>>> cb386694fad7bef10095e247b282af0802d2b5dd
>>>>>>> 2d658d2f2781b584d96093a4ef45f6b3de28e006
